"estado";"candidato";"votos";"cargo";"ano";"turno";"partido";"candidato_name"
"São Paulo";"Guilherme Afif PL (PDC)";807944;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Paraná";"Guilherme Afif PL (PDC)";494608;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Santa Catarina";"Guilherme Afif PL (PDC)";206957;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"R. G. do Sul";"Guilherme Afif PL (PDC)";178311;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"M. G. do Sul";"Guilherme Afif PL (PDC)";60061;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Mato Grosso";"Guilherme Afif PL (PDC)";66916;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Goiás";"Guilherme Afif PL (PDC)";111808;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Distrito Federal";"Guilherme Afif PL (PDC)";48068;"Presidente";1989;"Turno 1";"PL";"Guilherme Afif"
"Rondônia";"Ulysses Guimarães PMDB";19370;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Acre";"Ulysses Guimarães PMDB";14580;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Amazonas";"Ulysses Guimarães PMDB";17303;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Roraima";"Ulysses Guimarães PMDB";1589;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Pará";"Ulysses Guimarães PMDB";66384;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Amapá";"Ulysses Guimarães PMDB";3883;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Tocantins";"Ulysses Guimarães PMDB";32701;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Maranhão";"Ulysses Guimarães PMDB";72794;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Piauí";"Ulysses Guimarães PMDB";61037;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Ceará";"Ulysses Guimarães PMDB";85406;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"R. G. do Norte";"Ulysses Guimarães PMDB";139093;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Paraíba";"Ulysses Guimarães PMDB";97634;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Pernambuco";"Ulysses Guimarães PMDB";89991;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Alagoas";"Ulysses Guimarães PMDB";9138;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Sergipe";"Ulysses Guimarães PMDB";12161;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Bahia";"Ulysses Guimarães PMDB";638007;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Minas Gerais";"Ulysses Guimarães PMDB";459308;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Espírito Santo";"Ulysses Guimarães PMDB";71408;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Rio de Janeiro";"Ulysses Guimarães PMDB";124752;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"São Paulo";"Ulysses Guimarães PMDB";331576;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Paraná";"Ulysses Guimarães PMDB";144687;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Santa Catarina";"Ulysses Guimarães PMDB";242757;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"R. G. do Sul";"Ulysses Guimarães PMDB";185433;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"M. G. do Sul";"Ulysses Guimarães PMDB";44130;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Mato Grosso";"Ulysses Guimarães PMDB";56209;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Goiás";"Ulysses Guimarães PMDB";157355;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Distrito Federal";"Ulysses Guimarães PMDB";26167;"Presidente";1989;"Turno 1";"PMDB";"Ulysses Guimarães"
"Rondônia";"Roberto Freire  PCB";2267;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Acre";"Roberto Freire  PCB";651;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Amazonas";"Roberto Freire  PCB";4744;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Roraima";"Roberto Freire  PCB";339;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Pará";"Roberto Freire  PCB";13645;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Amapá";"Roberto Freire  PCB";893;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Tocantins";"Roberto Freire  PCB";1096;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Maranhão";"Roberto Freire  PCB";12672;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Piauí";"Roberto Freire  PCB";7303;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Ceará";"Roberto Freire  PCB";23037;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"R. G. do Norte";"Roberto Freire  PCB";10628;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Paraíba";"Roberto Freire  PCB";12173;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Pernambuco";"Roberto Freire  PCB";98651;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Alagoas";"Roberto Freire  PCB";5674;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Sergipe";"Roberto Freire  PCB";6122;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Bahia";"Roberto Freire  PCB";29803;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Minas Gerais";"Roberto Freire  PCB";99672;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Espírito Santo";"Roberto Freire  PCB";10476;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Rio de Janeiro";"Roberto Freire  PCB";154021;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"São Paulo";"Roberto Freire  PCB";140539;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Paraná";"Roberto Freire  PCB";30021;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Santa Catarina";"Roberto Freire  PCB";13965;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"R. G. do Sul";"Roberto Freire  PCB";45475;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"M. G. do Sul";"Roberto Freire  PCB";6040;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Mato Grosso";"Roberto Freire  PCB";4375;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Goiás";"Roberto Freire  PCB";9656;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Distrito Federal";"Roberto Freire  PCB";24865;"Presidente";1989;"Turno 1";"PCB";"Roberto Freire"
"Rondônia";"Aureliano Chaves PFL";2991;"Presidente";1989;"Turno 1";"PFL";"Aureliano Chaves"
"Acre";"Aureliano Chaves PFL";797;"Presidente";1989;"Turno 1";"PFL";"Aureliano Chaves"
"Amazonas";"Aureliano Chaves PFL";3471;"Presidente";1989;"Turno 1";"PFL";"Aureliano Chaves"
"Roraima";"Aureliano Chaves PFL";459;"Presidente";1989;"Turno 1";"PFL";"Aureliano Chaves"
"Pará";"Aureliano Chaves PFL";10919;"Presidente";1989;"Turno 1";"PFL";"Aureliano Chaves"
"Amapá";"Aureliano Chaves PFL";695;"Presidente";1989;"Turno 1";"PFL";"Aureliano Chaves"
"Tocantins";"Aureliano Chaves PFL";1563;"Presidente";1989;"Turno 1";"PFL";"Aureliano Chaves"
"Maranhão";"Aureliano Chaves PFL";16189;"Presidente";1989;"Turno 1";"PFL";"Aureliano Chaves"
"Piauí";"Aureliano Chaves PFL";18819;"Presidente";1989;"Turno 1";"PFL";"Aureliano Chaves"
